W0121 20:51:58.935000 13541 site-packages/torch/distributed/run.py:793] 
W0121 20:51:58.935000 13541 site-packages/torch/distributed/run.py:793] *****************************************
W0121 20:51:58.935000 13541 site-packages/torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
Epoch [1], Batch [545/4125], Loss: 5.8039
Epoch [1], Batch [550/4125], Loss: 5.7444
Epoch [1], Batch [555/4125], Loss: 5.8865
Epoch [1], Batch [560/4125], Loss: 5.9381
Epoch [1], Batch [565/4125], Loss: 5.9093
Epoch [1], Batch [570/4125], Loss: 5.8564
Epoch [1], Batch [575/4125], Loss: 5.9379
Epoch [1], Batch [580/4125], Loss: 5.8074
Epoch [1], Batch [585/4125], Loss: 5.7921
Epoch [1], Batch [590/4125], Loss: 5.9469
Epoch [1], Batch [595/4125], Loss: 5.8851
Epoch [1], Batch [600/4125], Loss: 5.7544
Epoch [1], Batch [605/4125], Loss: 5.8439
Epoch [1], Batch [610/4125], Loss: 5.8983
Epoch [1], Batch [615/4125], Loss: 5.8779
Epoch [1], Batch [620/4125], Loss: 5.8195
Epoch [1], Batch [625/4125], Loss: 5.8464
Epoch [1], Batch [630/4125], Loss: 5.7415
Epoch [1], Batch [635/4125], Loss: 5.7816
Epoch [1], Batch [640/4125], Loss: 5.8586
Epoch [1], Batch [645/4125], Loss: 5.7902
Epoch [1], Batch [650/4125], Loss: 5.8044
Epoch [1], Batch [655/4125], Loss: 5.6491
Epoch [1], Batch [660/4125], Loss: 5.7903
Epoch [1], Batch [665/4125], Loss: 5.7849
Epoch [1], Batch [670/4125], Loss: 5.8421
Epoch [1], Batch [675/4125], Loss: 5.9055
Epoch [1], Batch [680/4125], Loss: 5.8378
Epoch [1], Batch [685/4125], Loss: 5.7433
Epoch [1], Batch [690/4125], Loss: 5.7537
Epoch [1], Batch [695/4125], Loss: 5.7357
Epoch [1], Batch [700/4125], Loss: 5.8386
Epoch [1], Batch [705/4125], Loss: 5.7129
Epoch [1], Batch [710/4125], Loss: 5.8688
Epoch [1], Batch [715/4125], Loss: 5.7399
Epoch [1], Batch [720/4125], Loss: 5.6879
Epoch [1], Batch [725/4125], Loss: 5.7352
Epoch [1], Batch [730/4125], Loss: 5.8473
Epoch [1], Batch [735/4125], Loss: 5.7816
Epoch [1], Batch [740/4125], Loss: 5.7025
Epoch [1], Batch [745/4125], Loss: 5.8014
Epoch [1], Batch [750/4125], Loss: 5.7149
Epoch [1], Batch [755/4125], Loss: 5.8373
Epoch [1], Batch [760/4125], Loss: 5.8434
Epoch [1], Batch [765/4125], Loss: 5.7087
Epoch [1], Batch [770/4125], Loss: 5.7631
Epoch [1], Batch [775/4125], Loss: 5.6619
Epoch [1], Batch [780/4125], Loss: 5.7515
Epoch [1], Batch [785/4125], Loss: 5.7355
Epoch [1], Batch [790/4125], Loss: 5.7184
Epoch [1], Batch [795/4125], Loss: 5.8302
Epoch [1], Batch [800/4125], Loss: 5.7190
Epoch [1], Batch [805/4125], Loss: 5.7134
Epoch [1], Batch [810/4125], Loss: 5.7033
Epoch [1], Batch [815/4125], Loss: 5.8672
Epoch [1], Batch [820/4125], Loss: 5.6760
Epoch [1], Batch [825/4125], Loss: 5.6939
Epoch [1], Batch [830/4125], Loss: 5.6923
Epoch [1], Batch [835/4125], Loss: 5.7041
Epoch [1], Batch [840/4125], Loss: 5.6890
Epoch [1], Batch [845/4125], Loss: 5.7205
Epoch [1], Batch [850/4125], Loss: 5.7417
Epoch [1], Batch [855/4125], Loss: 5.7149
Epoch [1], Batch [860/4125], Loss: 5.6686
Epoch [1], Batch [865/4125], Loss: 5.7849
Epoch [1], Batch [870/4125], Loss: 5.7088
Epoch [1], Batch [875/4125], Loss: 5.6522
Epoch [1], Batch [880/4125], Loss: 5.6792
Epoch [1], Batch [885/4125], Loss: 5.7327
Epoch [1], Batch [890/4125], Loss: 5.6376
Epoch [1], Batch [895/4125], Loss: 5.6706
Epoch [1], Batch [900/4125], Loss: 5.6934
Epoch [1], Batch [905/4125], Loss: 5.7414
Epoch [1], Batch [910/4125], Loss: 5.6090
Epoch [1], Batch [915/4125], Loss: 5.7293
Epoch [1], Batch [920/4125], Loss: 5.6222
Epoch [1], Batch [925/4125], Loss: 5.6219
Epoch [1], Batch [930/4125], Loss: 5.6839
Epoch [1], Batch [935/4125], Loss: 5.6600
Epoch [1], Batch [940/4125], Loss: 5.6446
Epoch [1], Batch [945/4125], Loss: 5.7001
Epoch [1], Batch [950/4125], Loss: 5.6585
Epoch [1], Batch [955/4125], Loss: 5.7435
Epoch [1], Batch [960/4125], Loss: 5.6778
Epoch [1], Batch [965/4125], Loss: 5.7668
Epoch [1], Batch [970/4125], Loss: 5.7089
Epoch [1], Batch [975/4125], Loss: 5.6964
Epoch [1], Batch [980/4125], Loss: 5.6456
Epoch [1], Batch [985/4125], Loss: 5.7378
Epoch [1], Batch [990/4125], Loss: 5.6633
Epoch [1], Batch [995/4125], Loss: 5.6660
Epoch [1], Batch [1000/4125], Loss: 5.5917
Epoch [1], Batch [1005/4125], Loss: 5.6450
Epoch [1], Batch [1010/4125], Loss: 5.7069
Epoch [1], Batch [1015/4125], Loss: 5.7039
Epoch [1], Batch [1020/4125], Loss: 5.6217
Epoch [1], Batch [1025/4125], Loss: 5.6581
Epoch [1], Batch [1030/4125], Loss: 5.6117
Epoch [1], Batch [1035/4125], Loss: 5.6705
Epoch [1], Batch [1040/4125], Loss: 5.7265
Epoch [1], Batch [1045/4125], Loss: 5.6311
Epoch [1], Batch [1050/4125], Loss: 5.6932
Epoch [1], Batch [1055/4125], Loss: 5.6035
Epoch [1], Batch [1060/4125], Loss: 5.7440
Epoch [1], Batch [1065/4125], Loss: 5.6668
Epoch [1], Batch [1070/4125], Loss: 5.6072
Epoch [1], Batch [1075/4125], Loss: 5.7163
Epoch [1], Batch [1080/4125], Loss: 5.6865
Epoch [1], Batch [1085/4125], Loss: 5.6704
Epoch [1], Batch [1090/4125], Loss: 5.6552
Epoch [1], Batch [1095/4125], Loss: 5.5482
Epoch [1], Batch [1100/4125], Loss: 5.5949
Epoch [1], Batch [1105/4125], Loss: 5.6240
Epoch [1], Batch [1110/4125], Loss: 5.6950
Epoch [1], Batch [1115/4125], Loss: 5.6121
Epoch [1], Batch [1120/4125], Loss: 5.6572
Epoch [1], Batch [1125/4125], Loss: 5.5275
Epoch [1], Batch [1130/4125], Loss: 5.5925
Epoch [1], Batch [1135/4125], Loss: 5.6503
Epoch [1], Batch [1140/4125], Loss: 5.6401
Epoch [1], Batch [1145/4125], Loss: 5.6704
Epoch [1], Batch [1150/4125], Loss: 5.5510
Epoch [1], Batch [1155/4125], Loss: 5.5872
Epoch [1], Batch [1160/4125], Loss: 5.6155
Epoch [1], Batch [1165/4125], Loss: 5.6095
Epoch [1], Batch [1170/4125], Loss: 5.6175
Epoch [1], Batch [1175/4125], Loss: 5.5833
Epoch [1], Batch [1180/4125], Loss: 5.5801
Epoch [1], Batch [1185/4125], Loss: 5.6282
Epoch [1], Batch [1190/4125], Loss: 5.5597
Epoch [1], Batch [1195/4125], Loss: 5.6043
Epoch [1], Batch [1200/4125], Loss: 5.5640
Epoch [1], Batch [1205/4125], Loss: 5.6380
Epoch [1], Batch [1210/4125], Loss: 5.5780
Epoch [1], Batch [1215/4125], Loss: 5.5570
Epoch [1], Batch [1220/4125], Loss: 5.6624
Epoch [1], Batch [1225/4125], Loss: 5.5501
Epoch [1], Batch [1230/4125], Loss: 5.5775
Epoch [1], Batch [1235/4125], Loss: 5.5428
Epoch [1], Batch [1240/4125], Loss: 5.5671
Epoch [1], Batch [1245/4125], Loss: 5.6471
Epoch [1], Batch [1250/4125], Loss: 5.5411
Epoch [1], Batch [1255/4125], Loss: 5.6980
Epoch [1], Batch [1260/4125], Loss: 5.5751
Epoch [1], Batch [1265/4125], Loss: 5.6424
Epoch [1], Batch [1270/4125], Loss: 5.6085
Epoch [1], Batch [1275/4125], Loss: 5.5936
Epoch [1], Batch [1280/4125], Loss: 5.5377
Epoch [1], Batch [1285/4125], Loss: 5.5755
Epoch [1], Batch [1290/4125], Loss: 5.5980
Epoch [1], Batch [1295/4125], Loss: 5.5730
Epoch [1], Batch [1300/4125], Loss: 5.6169
Epoch [1], Batch [1305/4125], Loss: 5.5263
Epoch [1], Batch [1310/4125], Loss: 5.5646
Epoch [1], Batch [1315/4125], Loss: 5.5499
Epoch [1], Batch [1320/4125], Loss: 5.6288
Epoch [1], Batch [1325/4125], Loss: 5.5377
Epoch [1], Batch [1330/4125], Loss: 5.5967
Epoch [1], Batch [1335/4125], Loss: 5.5882
Epoch [1], Batch [1340/4125], Loss: 5.6105
Epoch [1], Batch [1345/4125], Loss: 5.5462
Epoch [1], Batch [1350/4125], Loss: 5.5861
Epoch [1], Batch [1355/4125], Loss: 5.5301
Epoch [1], Batch [1360/4125], Loss: 5.5833
Epoch [1], Batch [1365/4125], Loss: 5.5995
Epoch [1], Batch [1370/4125], Loss: 5.5683
Epoch [1], Batch [1375/4125], Loss: 5.5828
Epoch [1], Batch [1380/4125], Loss: 5.5259
Epoch [1], Batch [1385/4125], Loss: 5.5364
Epoch [1], Batch [1390/4125], Loss: 5.6357
Epoch [1], Batch [1395/4125], Loss: 5.6276
Epoch [1], Batch [1400/4125], Loss: 5.6336
Epoch [1], Batch [1405/4125], Loss: 5.5517
Epoch [1], Batch [1410/4125], Loss: 5.5449
Epoch [1], Batch [1415/4125], Loss: 5.5803
Epoch [1], Batch [1420/4125], Loss: 5.6250
Epoch [1], Batch [1425/4125], Loss: 5.5104
Epoch [1], Batch [1430/4125], Loss: 5.5626
Epoch [1], Batch [1435/4125], Loss: 5.4731
Epoch [1], Batch [1440/4125], Loss: 5.4723
Epoch [1], Batch [1445/4125], Loss: 5.5673
Epoch [1], Batch [1450/4125], Loss: 5.5915
Epoch [1], Batch [1455/4125], Loss: 5.5143
Epoch [1], Batch [1460/4125], Loss: 5.6354
Epoch [1], Batch [1465/4125], Loss: 5.4575
Epoch [1], Batch [1470/4125], Loss: 5.6334
Epoch [1], Batch [1475/4125], Loss: 5.5453
Epoch [1], Batch [1480/4125], Loss: 5.5399
Epoch [1], Batch [1485/4125], Loss: 5.5794
Epoch [1], Batch [1490/4125], Loss: 5.4525
Epoch [1], Batch [1495/4125], Loss: 5.5770
Epoch [1], Batch [1500/4125], Loss: 5.4936
Epoch [1], Batch [1505/4125], Loss: 5.4984
Epoch [1], Batch [1510/4125], Loss: 5.5524
Epoch [1], Batch [1515/4125], Loss: 5.5908
Epoch [1], Batch [1520/4125], Loss: 5.5869
Epoch [1], Batch [1525/4125], Loss: 5.5190
Epoch [1], Batch [1530/4125], Loss: 5.5373
Epoch [1], Batch [1535/4125], Loss: 5.4664
Epoch [1], Batch [1540/4125], Loss: 5.5566
Epoch [1], Batch [1545/4125], Loss: 5.4920
Epoch [1], Batch [1550/4125], Loss: 5.5198
Epoch [1], Batch [1555/4125], Loss: 5.5553
Epoch [1], Batch [1560/4125], Loss: 5.5320
Epoch [1], Batch [1565/4125], Loss: 5.4170
Epoch [1], Batch [1570/4125], Loss: 5.5107
Epoch [1], Batch [1575/4125], Loss: 5.4658
Epoch [1], Batch [1580/4125], Loss: 5.5584
Epoch [1], Batch [1585/4125], Loss: 5.4901
Epoch [1], Batch [1590/4125], Loss: 5.5591
Epoch [1], Batch [1595/4125], Loss: 5.4913
Epoch [1], Batch [1600/4125], Loss: 5.4832
Epoch [1], Batch [1605/4125], Loss: 5.5623
Epoch [1], Batch [1610/4125], Loss: 5.4884
Epoch [1], Batch [1615/4125], Loss: 5.4952
Epoch [1], Batch [1620/4125], Loss: 5.5327
Epoch [1], Batch [1625/4125], Loss: 5.5186
Epoch [1], Batch [1630/4125], Loss: 5.6396
Epoch [1], Batch [1635/4125], Loss: 5.6489
Epoch [1], Batch [1640/4125], Loss: 5.5055
Epoch [1], Batch [1645/4125], Loss: 5.5422
Epoch [1], Batch [1650/4125], Loss: 5.4968
Epoch [1], Batch [1655/4125], Loss: 5.5339
Epoch [1], Batch [1660/4125], Loss: 5.4767
Epoch [1], Batch [1665/4125], Loss: 5.4683
Epoch [1], Batch [1670/4125], Loss: 5.4733
Epoch [1], Batch [1675/4125], Loss: 5.4792
Epoch [1], Batch [1680/4125], Loss: 5.5064
Epoch [1], Batch [1685/4125], Loss: 5.5017
Epoch [1], Batch [1690/4125], Loss: 5.5749
Epoch [1], Batch [1695/4125], Loss: 5.5713
Epoch [1], Batch [1700/4125], Loss: 5.5265
Epoch [1], Batch [1705/4125], Loss: 5.5047
Epoch [1], Batch [1710/4125], Loss: 5.5349
Epoch [1], Batch [1715/4125], Loss: 5.5600
Epoch [1], Batch [1720/4125], Loss: 5.5230
Epoch [1], Batch [1725/4125], Loss: 5.5678
Epoch [1], Batch [1730/4125], Loss: 5.5592
Epoch [1], Batch [1735/4125], Loss: 5.4744
Epoch [1], Batch [1740/4125], Loss: 5.4949
Epoch [1], Batch [1745/4125], Loss: 5.5898
Epoch [1], Batch [1750/4125], Loss: 5.4881
Epoch [1], Batch [1755/4125], Loss: 5.5453
Epoch [1], Batch [1760/4125], Loss: 5.5022
Epoch [1], Batch [1765/4125], Loss: 5.5235
Epoch [1], Batch [1770/4125], Loss: 5.5433
Epoch [1], Batch [1775/4125], Loss: 5.5163
Epoch [1], Batch [1780/4125], Loss: 5.4675
Epoch [1], Batch [1785/4125], Loss: 5.5293
Epoch [1], Batch [1790/4125], Loss: 5.4958
Epoch [1], Batch [1795/4125], Loss: 5.5560
Epoch [1], Batch [1800/4125], Loss: 5.5464
Epoch [1], Batch [1805/4125], Loss: 5.4640
Epoch [1], Batch [1810/4125], Loss: 5.5873
Epoch [1], Batch [1815/4125], Loss: 5.5039
Epoch [1], Batch [1820/4125], Loss: 5.6266
Epoch [1], Batch [1825/4125], Loss: 5.4453
Epoch [1], Batch [1830/4125], Loss: 5.4732
Epoch [1], Batch [1835/4125], Loss: 5.4836
Epoch [1], Batch [1840/4125], Loss: 5.5595
Epoch [1], Batch [1845/4125], Loss: 5.4863
Epoch [1], Batch [1850/4125], Loss: 5.5295
Epoch [1], Batch [1855/4125], Loss: 5.5245
Epoch [1], Batch [1860/4125], Loss: 5.4753
Epoch [1], Batch [1865/4125], Loss: 5.4820
Epoch [1], Batch [1870/4125], Loss: 5.5826
Epoch [1], Batch [1875/4125], Loss: 5.4981
Epoch [1], Batch [1880/4125], Loss: 5.4955
Epoch [1], Batch [1885/4125], Loss: 5.5182
Epoch [1], Batch [1890/4125], Loss: 5.5411
Epoch [1], Batch [1895/4125], Loss: 5.4879
Epoch [1], Batch [1900/4125], Loss: 5.4864
Epoch [1], Batch [1905/4125], Loss: 5.5370
Epoch [1], Batch [1910/4125], Loss: 5.5539
Epoch [1], Batch [1915/4125], Loss: 5.5178
Epoch [1], Batch [1920/4125], Loss: 5.5093
Epoch [1], Batch [1925/4125], Loss: 5.5055
Epoch [1], Batch [1930/4125], Loss: 5.4751
Epoch [1], Batch [1935/4125], Loss: 5.4684
Epoch [1], Batch [1940/4125], Loss: 5.5074
Epoch [1], Batch [1945/4125], Loss: 5.3950
Epoch [1], Batch [1950/4125], Loss: 5.5486
Epoch [1], Batch [1955/4125], Loss: 5.4857
Epoch [1], Batch [1960/4125], Loss: 5.4824
Epoch [1], Batch [1965/4125], Loss: 5.5199
Epoch [1], Batch [1970/4125], Loss: 5.5169
Epoch [1], Batch [1975/4125], Loss: 5.4083
Epoch [1], Batch [1980/4125], Loss: 5.4112
Epoch [1], Batch [1985/4125], Loss: 5.4513
Epoch [1], Batch [1990/4125], Loss: 5.5029
Epoch [1], Batch [1995/4125], Loss: 5.5102
Epoch [1], Batch [2000/4125], Loss: 5.4835
Epoch [1], Batch [2005/4125], Loss: 5.5530
Epoch [1], Batch [2010/4125], Loss: 5.5123
Epoch [1], Batch [2015/4125], Loss: 5.4842
Epoch [1], Batch [2020/4125], Loss: 5.5474
Epoch [1], Batch [2025/4125], Loss: 5.4916
Epoch [1], Batch [2030/4125], Loss: 5.4910
Epoch [1], Batch [2035/4125], Loss: 5.5411
Epoch [1], Batch [2040/4125], Loss: 5.5755
Epoch [1], Batch [2045/4125], Loss: 5.4079
Epoch [1], Batch [2050/4125], Loss: 5.4757
Epoch [1], Batch [2055/4125], Loss: 5.5201
Epoch [1], Batch [2060/4125], Loss: 5.4386
Epoch [1], Batch [2065/4125], Loss: 5.4433
Epoch [1], Batch [2070/4125], Loss: 5.6223
Epoch [1], Batch [2075/4125], Loss: 5.4964
Epoch [1], Batch [2080/4125], Loss: 5.4890
Epoch [1], Batch [2085/4125], Loss: 5.4697
Epoch [1], Batch [2090/4125], Loss: 5.4572
Epoch [1], Batch [2095/4125], Loss: 5.5346
Epoch [1], Batch [2100/4125], Loss: 5.5212
Epoch [1], Batch [2105/4125], Loss: 5.4887
Epoch [1], Batch [2110/4125], Loss: 5.4833
Epoch [1], Batch [2115/4125], Loss: 5.5630
Epoch [1], Batch [2120/4125], Loss: 5.5131
Epoch [1], Batch [2125/4125], Loss: 5.5327
Epoch [1], Batch [2130/4125], Loss: 5.5158
Epoch [1], Batch [2135/4125], Loss: 5.5143
Epoch [1], Batch [2140/4125], Loss: 5.4368
Epoch [1], Batch [2145/4125], Loss: 5.4204
Epoch [1], Batch [2150/4125], Loss: 5.4956
Epoch [1], Batch [2155/4125], Loss: 5.4995
Epoch [1], Batch [2160/4125], Loss: 5.4258
Epoch [1], Batch [2165/4125], Loss: 5.4427
Epoch [1], Batch [2170/4125], Loss: 5.5513
Epoch [1], Batch [2175/4125], Loss: 5.4142
Epoch [1], Batch [2180/4125], Loss: 5.5243
Epoch [1], Batch [2185/4125], Loss: 5.5277
Epoch [1], Batch [2190/4125], Loss: 5.5272
Epoch [1], Batch [2195/4125], Loss: 5.4244
Epoch [1], Batch [2200/4125], Loss: 5.4357
Epoch [1], Batch [2205/4125], Loss: 5.4817
Epoch [1], Batch [2210/4125], Loss: 5.4882
Epoch [1], Batch [2215/4125], Loss: 5.4982
Epoch [1], Batch [2220/4125], Loss: 5.5377
Epoch [1], Batch [2225/4125], Loss: 5.5176
Epoch [1], Batch [2230/4125], Loss: 5.4380
Epoch [1], Batch [2235/4125], Loss: 5.4726
Epoch [1], Batch [2240/4125], Loss: 5.4417
Epoch [1], Batch [2245/4125], Loss: 5.5323
Epoch [1], Batch [2250/4125], Loss: 5.4377
Epoch [1], Batch [2255/4125], Loss: 5.4880
Epoch [1], Batch [2260/4125], Loss: 5.4807
Epoch [1], Batch [2265/4125], Loss: 5.5627
Epoch [1], Batch [2270/4125], Loss: 5.5555
Epoch [1], Batch [2275/4125], Loss: 5.5934
Epoch [1], Batch [2280/4125], Loss: 5.4498
Epoch [1], Batch [2285/4125], Loss: 5.4639
Epoch [1], Batch [2290/4125], Loss: 5.4937
Epoch [1], Batch [2295/4125], Loss: 5.4656
Epoch [1], Batch [2300/4125], Loss: 5.4734
Epoch [1], Batch [2305/4125], Loss: 5.5413
Epoch [1], Batch [2310/4125], Loss: 5.5059
Epoch [1], Batch [2315/4125], Loss: 5.4872
Epoch [1], Batch [2320/4125], Loss: 5.4666
Epoch [1], Batch [2325/4125], Loss: 5.4596
Epoch [1], Batch [2330/4125], Loss: 5.5631
Epoch [1], Batch [2335/4125], Loss: 5.4428
Epoch [1], Batch [2340/4125], Loss: 5.5044
Epoch [1], Batch [2345/4125], Loss: 5.4986
Epoch [1], Batch [2350/4125], Loss: 5.5442
Epoch [1], Batch [2355/4125], Loss: 5.4946
Epoch [1], Batch [2360/4125], Loss: 5.4786
Epoch [1], Batch [2365/4125], Loss: 5.4595
Epoch [1], Batch [2370/4125], Loss: 5.4080
Epoch [1], Batch [2375/4125], Loss: 5.4204
Epoch [1], Batch [2380/4125], Loss: 5.5250
Epoch [1], Batch [2385/4125], Loss: 5.4900
Epoch [1], Batch [2390/4125], Loss: 5.4773
Epoch [1], Batch [2395/4125], Loss: 5.4860
Epoch [1], Batch [2400/4125], Loss: 5.5414
Epoch [1], Batch [2405/4125], Loss: 5.4730
Epoch [1], Batch [2410/4125], Loss: 5.5322
Epoch [1], Batch [2415/4125], Loss: 5.4836
Epoch [1], Batch [2420/4125], Loss: 5.4557
Epoch [1], Batch [2425/4125], Loss: 5.4558
Epoch [1], Batch [2430/4125], Loss: 5.4333
Epoch [1], Batch [2435/4125], Loss: 5.4721
Epoch [1], Batch [2440/4125], Loss: 5.4200
Epoch [1], Batch [2445/4125], Loss: 5.4862
Epoch [1], Batch [2450/4125], Loss: 5.4826
Epoch [1], Batch [2455/4125], Loss: 5.6263
Epoch [1], Batch [2460/4125], Loss: 5.4442
Epoch [1], Batch [2465/4125], Loss: 5.5145
Epoch [1], Batch [2470/4125], Loss: 5.4624
Epoch [1], Batch [2475/4125], Loss: 5.5428
Epoch [1], Batch [2480/4125], Loss: 5.4754
Epoch [1], Batch [2485/4125], Loss: 5.4983
Epoch [1], Batch [2490/4125], Loss: 5.5043
Epoch [1], Batch [2495/4125], Loss: 5.4017
Epoch [1], Batch [2500/4125], Loss: 5.3925
Epoch [1], Batch [2505/4125], Loss: 5.4954
Epoch [1], Batch [2510/4125], Loss: 5.5335
Epoch [1], Batch [2515/4125], Loss: 5.4444
Epoch [1], Batch [2520/4125], Loss: 5.3969
Epoch [1], Batch [2525/4125], Loss: 5.4448
Epoch [1], Batch [2530/4125], Loss: 5.4406
Epoch [1], Batch [2535/4125], Loss: 5.4936
Epoch [1], Batch [2540/4125], Loss: 5.5226
Epoch [1], Batch [2545/4125], Loss: 5.4429
Epoch [1], Batch [2550/4125], Loss: 5.4755
